startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
00/09/1970,00/09/1970,United States of America (the),USA,San Diego,Wildfire,"Land fire (Brush, Bush, Pastur",,,1970-0045
00/08/1970,00/00/1970,Brazil,BRA,Northeast,Drought,Drought,,10000000,1970-9005
00/00/1972,00/00/1973,Honduras,HND,,Drought,Drought,,300000,1972-9077
00/00/1973,00/00/1973,Costa Rica,CRI,Laguna Arenal,Drought,Drought,,,1973-9004
00/11/1974,00/00/1974,Haiti,HTI,Northwest Peninsula,Drought,Drought,,507000,1974-9055
00/04/1976,00/04/1976,Costa Rica,CRI,Chirripo Mountain,Wildfire,Forest fire,,,1976-0030
00/05/1977,00/00/1977,Haiti,HTI,Countrywide,Drought,Drought,,450000,1977-9002
00/00/1977,00/00/1977,Bolivia (Plurinational State of),BOL,Potosi department,Drought,Drought,,,1977-9005
00/00/1977,00/00/1977,Brazil,BRA,North East,Drought,Drought,,,1977-9006
00/01/1977,00/00/1980,Canada,CAN,Prairie provinces,Drought,Drought,,,1977-9294
00/00/1978,00/00/1978,Brazil,BRA,Central and Southern,Drought,Drought,,,1978-9005
00/00/1978,00/00/1978,Mexico,MEX,North,Drought,Drought,,,1978-9016
00/00/1979,00/00/1979,Brazil,BRA,Northeastern,Drought,Drought,,5000000,1979-9012
00/06/1980,00/06/1980,Canada,CAN,"Red Lake, Ontario",Wildfire,"Land fire (Brush, Bush, Pastur",,5000,1980-0211
00/00/1980,00/00/1983,Haiti,HTI,Southwest,Drought,Drought,,103000,1980-9132
00/01/1981,00/00/1983,Jamaica,JAM,,Drought,Drought,,,1981-9209
00/00/1981,00/00/1983,Cuba,CUB,,Drought,Drought,,,1981-9307
00/07/1982,00/00/1982,El Salvador,SLV,,Drought,Drought,,,1982-9286
12/2/83,12/2/83,Dominican Republic (the),DOM,South-East of Constanza,Wildfire,Forest fire,,,1983-0044
00/04/1983,00/00/1983,Bolivia (Plurinational State of),BOL,Altiplano (High Plateaux),Drought,Drought,,1583049,1983-9007
00/01/1983,00/00/1983,Peru,PER,Puno department (Andean),Drought,Drought,,,1983-9007
00/11/1983,00/00/1983,Antigua and Barbuda,ATG,,Drought,Drought,,75000,1983-9139
00/09/1983,00/00/1983,Brazil,BRA,"Northeast, Sertao",Drought,Drought,20,20000000,1983-9206
00/05/1983,00/00/1983,Panama,PAN,Panama city,Drought,Drought,,81000,1983-9331
00/06/1983,00/00/1983,Paraguay,PRY,,Drought,Drought,,,1983-9332
00/12/1983,00/00/1983,Bolivia (Plurinational State of),BOL,,Drought,Drought,,1500000,1983-9535
00/01/1984,00/03/1985,Canada,CAN,"Quebec, Prince Edouard Islands, Alberta, Saskatchewan, Manitoba, Ontario provinces",Drought,Drought,,30000,1984-9211
28/02/1985,28/02/1985,Ecuador,ECU,"Isabela IsL, Gualapagos",Wildfire,"Land fire (Brush, Bush, Pastur",,800,1985-0035
00/07/1985,00/07/1985,Canada,CAN,Northeast of Vancouver,Wildfire,Forest fire,,,1985-0077
00/11/1985,00/00/1985,Brazil,BRA,Rio Grande Do Sul,Drought,Drought,,,1985-9011
15/05/1986,15/05/1986,Canada,CAN,"Grand Falls, Newfoundland",Wildfire,Forest fire,,1000,1986-0188
15/05/1986,15/05/1986,Canada,CAN,"George Town & Burton, New Brunswick",Wildfire,Forest fire,,1000,1986-0242
00/00/1986,00/00/1986,Cuba,CUB,,Drought,Drought,,,1986-9404
22/01/1987,22/01/1987,Argentina,ARG,"Lanin area (Neuquen province), El Bolson area (Chubut province), Rio Negro province",Wildfire,Forest fire,,152752,1987-0002
00/05/1987,00/05/1987,Guatemala,GTM,Peten,Wildfire,Forest fire,,,1987-0088
00/08/1987,00/08/1987,Cuba,CUB,"Moa, Holguin",Wildfire,Forest fire,,,1987-0138
00/06/1987,00/00/1988,Brazil,BRA,"Alagoas, Minas, Bahia, Maranhao, Piaui, Ceara, Rio Grande Do Norte, Paraiba, Pernambuco, Sergipe, Mina Gerais states",Drought,Drought,,750000,1987-9103
00/00/1987,00/00/1988,Guatemala,GTM,Chiquimula area,Drought,Drought,,73000,1987-9588
00/00/1988,00/00/1988,Guyana,GUY,,Drought,Drought,,,1988-9026
00/02/1988,00/00/1988,Brazil,BRA,"Rio Grande Do Sul, Santa Catarina",Drought,Drought,,,1988-9064
00/05/1988,00/00/1988,Mexico,MEX,"Sinaloa, Nayarit provinces",Drought,Drought,,,1988-9181
00/10/1988,00/00/1988,Bolivia (Plurinational State of),BOL,"Santa Cruz, La Paz, Chaco area",Drought,Drought,,,1988-9449
00/01/1988,00/00/1988,Canada,CAN,"British Columbia, Ontario",Drought,Drought,,,1988-9638
00/04/1988,00/06/1988,United States of America (the),USA,,Drought,Drought,,,1988-9707
00/07/1989,00/07/1989,Mexico,MEX,Quintana Roo,Wildfire,Forest fire,,,1989-0279
00/01/1989,00/08/1989,Canada,CAN,"Entire country, especillay Labrador",Wildfire,Forest fire,1,25000,1989-0280
00/00/1990,00/00/1990,Bolivia (Plurinational State of),BOL,"La paz, Oruro, Potosi, Cochabamba, Tarija departments",Drought,Drought,,283160,1990-9059
00/08/1990,00/00/1990,Peru,PER,"Lambayeque, La Libertad, Cajamarca, Ancash, Ica, Huancavelica, Ayacucho, Arequipa, Apurimac, Cusco, Puno, Moquepa, Tacna, Lima departments",Drought,Drought,,2200000,1990-9059
3/2/91,3/2/91,Colombia,COL,"Cano Yarumales, Rio Guayabero",Wildfire,Forest fire,,,1991-0126
17/10/1991,17/10/1991,United States of America (the),USA,"Washington, Idaho, Montana, Wyoming, Colorado",Wildfire,Forest fire,2,300,1991-0425
21/10/1991,22/10/1991,United States of America (the),USA,Oakland,Wildfire,Forest fire,26,,1991-0426
15/01/1991,12/3/91,Nicaragua,NIC,North-West,Wildfire,Forest fire,,,1991-0479
00/01/1991,00/05/1991,Chile,CHL,,Drought,Drought,,,1991-9006
00/01/1991,00/07/1991,United States of America (the),USA,California,Drought,Drought,,,1991-9476
00/07/1991,00/07/1991,United States of America (the),USA,"Pennsylvania, Maryland",Drought,Drought,,,1991-9523
9/4/92,9/4/92,Costa Rica,CRI,Cerro Chiripo region of Talamanca,Wildfire,Forest fire,,1200,1992-0155
17/08/1992,17/08/1992,United States of America (the),USA,"California, Idaho, Oregon, Utah",Wildfire,Forest fire,,990,1992-0269
29/09/1992,29/09/1992,United States of America (the),USA,Tahoe (California),Wildfire,Forest fire,,,1992-0383
00/00/1992,00/00/1992,Chile,CHL,,Wildfire,Forest fire,,,1992-0502
00/07/1992,00/07/1992,Canada,CAN,Britsh Columbia province,Wildfire,Forest fire,,,1992-0503
00/04/1992,00/00/1992,Haiti,HTI,,Drought,Drought,,1000000,1992-9140
00/07/1992,00/00/1992,Peru,PER,,Drought,Drought,,1100000,1992-9229
27/10/1993,3/11/93,United States of America (the),USA,"San Diego, Laguna Beach, Malibu, Los Angeles, Orange (California)",Wildfire,Forest fire,3,130,1993-0440
