startDate,endDate,countryName,ISO,location,disasterType,disasterSubtype,totalDeaths,totalAffected,disasterID
7/4/70,7/4/70,Philippines (the),PHL,Luzon,Earthquake,Ground movement,14,200,1970-0004
00/01/1970,00/01/1970,China,CHN,Yunnan province,Earthquake,Ground movement,10000,,1970-0010
10/2/70,10/2/70,France,FRA,Val d'Isere,Mass movement (dry),Avalanche,42,37,1970-0016
28/03/1970,28/03/1970,Turkey,TUR,Gediz,Earthquake,Ground movement,1086,83448,1970-0019
31/05/1970,31/05/1970,Peru,PER,Chimbote,Earthquake,Ground movement,66794,3216240,1970-0032
30/07/1970,30/07/1970,Iran (Islamic Republic of),IRN,Northeast Iran,Earthquake,Ground movement,176,10000,1970-0038
25/09/1970,25/09/1970,Colombia,COL,Pereira (Bahia Solano),Earthquake,Ground movement,,3006,1970-0051
31/10/1970,31/10/1970,Papua New Guinea,PNG,Madang,Earthquake,Ground movement,15,,1970-0060
9/12/70,9/12/70,Ecuador,ECU,Loja province,Earthquake,Ground movement,29,88112,1970-0067
9/12/70,9/12/70,Peru,PER,"Piura,Tumbes",Earthquake,Ground movement,29,15252,1970-0068
00/00/1970,00/00/1970,India,IND,,Earthquake,Ground movement,26,,1970-0112
00/11/1970,00/11/1970,Colombia,COL,,Earthquake,Ground movement,430,,1970-0126
00/00/1971,00/00/1971,Solomon Islands,SLB,Santa Cruz,Volcanic activity,Ash fall,,6000,1971-0008
3/2/71,3/2/71,Nicaragua,NIC,"North West, near Managua",Volcanic activity,Ash fall,,3600,1971-0013
6/2/71,6/2/71,Italy,ITA,Toscana,Earthquake,Ground movement,22,4220,1971-0014
9/2/71,9/2/71,United States of America (the),USA,San Fernando (Los Angeles),Earthquake,Ground movement,65,1000,1971-0016
2/5/71,2/5/71,Turkey,TUR,Burdur,Earthquake,Ground movement,57,,1971-0030
4/5/71,4/5/71,Canada,CAN,Jean Vianney (Quebec),Mass movement (dry),Landslide,31,1500,1971-0031
22/05/1971,22/05/1971,Turkey,TUR,"Bingol, Erzincan",Earthquake,Ground movement,878,88665,1971-0034
8/7/71,8/7/71,Chile,CHL,"Valparaiso, Salamnca, Coquimbo",Earthquake,Ground movement,85,2348973,1971-0042
17/10/1971,17/10/1971,Saint Vincent and the Grenadines,VCT,,Volcanic activity,Ash fall,,2000,1971-0056
00/03/1972,00/03/1972,Peru,PER,"Juanjui, Tarapoto",Earthquake,Ground movement,12,1575000,1972-0024
10/4/72,10/4/72,Iran (Islamic Republic of),IRN,Qir (Southwest Iran),Earthquake,Ground movement,5057,23458,1972-0027
23/12/1972,23/12/1972,Nicaragua,NIC,Managua,Earthquake,Ground movement,10000,720000,1972-0067
4/2/72,4/2/72,Italy,ITA,Ancona,Earthquake,Ground movement,1,450,1972-0084
00/00/1972,00/00/1972,India,IND,,Earthquake,Ground movement,100,,1972-0132
23/01/1973,10/2/73,Iceland,ISL,Heimaey Is.,Volcanic activity,Ash fall,,5200,1973-0012
31/01/1973,31/01/1973,Mexico,MEX,"Michoacan, Colima",Earthquake,Ground movement,17,,1973-0014
17/03/1973,17/03/1973,Philippines (the),PHL,"Luzon, Tablas Is.",Earthquake,Ground movement,14,64,1973-0017
14/04/1973,14/04/1973,Costa Rica,CRI,South Laguna Arenal,Earthquake,Ground movement,21,3745,1973-0024
28/08/1973,28/08/1973,Mexico,MEX,Puebla,Earthquake,Ground movement,500,,1973-0035
00/05/1974,00/05/1974,China,CHN,"Yunnan, Sichuan",Earthquake,Ground movement,20000,,1974-0025
9/5/74,9/5/74,Japan,JPN,Izu-Hanto,Earthquake,Ground movement,30,73,1974-0026
3/10/74,3/10/74,Peru,PER,Lima area,Earthquake,Ground movement,78,43674,1974-0050
28/12/1974,28/12/1974,Pakistan,PAK,North Indus R. Valley,Earthquake,Ground movement,4700,50200,1974-0063
19/01/1975,19/01/1975,India,IND,Himachal Pradesh,Earthquake,Ground movement,47,,1975-0014
4/2/75,4/2/75,China,CHN,Anshan Liaoning province,Earthquake,Ground movement,10000,,1975-0017
00/06/1975,00/06/1975,Costa Rica,CRI,,Volcanic activity,Ash fall,2,,1975-0032
8/7/75,8/7/75,Ecuador,ECU,El Sangay,Volcanic activity,Ash fall,,,1975-0041
21/07/1975,21/07/1975,Solomon Islands,SLB,Torkina,Earthquake,Tsunami,200,,1975-0043
6/9/75,6/9/75,Turkey,TUR,Lice,Earthquake,Ground movement,2385,53372,1975-0053
00/12/1975,00/12/1975,Ecuador,ECU,Cotapaxi,Volcanic activity,Ash fall,,,1975-0147
13/01/1976,13/01/1976,Iceland,ISL,Kopasker,Earthquake,Ground movement,1,6,1976-0020
14/01/1976,14/01/1976,New Zealand,NZL,"Kermandec Is., Raoul",Earthquake,Ground movement,,,1976-0021
4/2/76,4/2/76,Guatemala,GTM,Guatemala city,Earthquake,Ground movement,23000,4993000,1976-0024
19/02/1976,19/02/1976,Cuba,CUB,Camaron area,Earthquake,Ground movement,1,8,1976-0026
19/03/1976,19/03/1976,Afghanistan,AFG,Hindu Kush,Earthquake,Ground movement,50,90000,1976-0028
25/03/1976,25/03/1976,Turkey,TUR,,Earthquake,Ground movement,2,6,1976-0029
9/4/76,9/4/76,Ecuador,ECU,Esmeraldas,Earthquake,Ground movement,10,,1976-0033
6/5/76,6/5/76,Italy,ITA,Friuli region,Earthquake,Ground movement,922,218222,1976-0037
17/05/1976,17/05/1976,Soviet Union,SUN,Gazli (Uzbekistan),Earthquake,Ground movement,,,1976-0039
26/06/1976,26/06/1976,Indonesia,IDN,Wanena Region (Irian Jaya),Earthquake,Ground movement,420,15000,1976-0043
14/07/1976,14/07/1976,Indonesia,IDN,Bali,Earthquake,Ground movement,573,454755,1976-0047
27/07/1976,27/07/1976,China,CHN,"Tangshan, Pek.,Tientsin",Earthquake,Ground movement,242000,164000,1976-0050
16/08/1976,16/08/1976,Philippines (the),PHL,"Gulf of Moro, Sulu",Earthquake,Ground movement,6000,181348,1976-0054
16/08/1976,16/08/1976,China,CHN,"Szechwan, Chengtu",Earthquake,Ground movement,,,1976-0055
19/08/1976,19/08/1976,Turkey,TUR,Denizli,Earthquake,Ground movement,4,28,1976-0056
30/08/1976,30/08/1976,Guadeloupe,GLP,,Volcanic activity,Ash fall,,75003,1976-0058
3/9/76,3/9/76,Philippines (the),PHL,40 miles South Manilla,Volcanic activity,Ash fall,,11510,1976-0061
4/10/76,4/10/76,Ecuador,ECU,Cotopaxi Pinchincha province,Earthquake,Ground movement,10,20000,1976-0068
21/10/1976,21/10/1976,Costa Rica,CRI,,Volcanic activity,Ash fall,,70000,1976-0070
29/10/1976,29/10/1976,Indonesia,IDN,West Irian,Earthquake,Ground movement,133,7000,1976-0071
6/11/76,6/11/76,Iran (Islamic Republic of),IRN,South Khorasan province,Earthquake,Ground movement,16,,1976-0072
24/11/1976,24/11/1976,Turkey,TUR,Muradiye,Earthquake,Ground movement,3840,216000,1976-0075
